Timestamp,Symbol,Type,Action,Price,Stop Loss,Take Profit,Result
2024-09-02T21:09:01.985Z,BTC/USDT,short,entry,59097.90,59113.70,59066.30,
2024-09-02T21:10:01.985Z,BTC/USDT,short,exit,59116.40,59113.70,59066.30,-18.50
2024-09-02T21:19:01.985Z,BTC/USDT,short,entry,59134.70,59207.00,58990.10,
2024-09-02T21:22:01.986Z,BTC/USDT,short,exit,59207.40,59207.00,58990.10,-72.70
2024-09-02T21:33:01.989Z,BTC/USDT,short,entry,59203.10,59245.20,59118.90,
2024-09-02T21:46:01.993Z,BTC/USDT,short,exit,59017.10,59245.20,59118.90,186.00
2024-09-02T21:47:01.993Z,BTC/USDT,short,entry,58971.50,59079.70,58755.10,
2024-09-02T21:54:01.995Z,BTC/USDT,short,exit,58936.70,59079.70,58755.10,34.80
2024-09-02T21:57:01.996Z,BTC/USDT,long,entry,58954.10,58950.00,58962.30,
2024-09-02T22:03:01.997Z,BTC/USDT,long,exit,58980.60,58950.00,58962.30,26.50
2024-09-02T22:04:01.998Z,BTC/USDT,long,entry,59065.60,58978.60,59239.60,
2024-09-02T22:14:02.002Z,BTC/USDT,long,exit,59062.00,58978.60,59239.60,-3.60
2024-09-02T22:16:02.002Z,BTC/USDT,short,entry,59028.40,59066.00,58953.20,
2024-09-02T22:17:02.003Z,BTC/USDT,short,exit,59074.10,59066.00,58953.20,-45.70
2024-09-02T22:19:02.005Z,BTC/USDT,short,entry,59050.10,59095.90,58958.50,
2024-09-02T22:21:02.006Z,BTC/USDT,short,exit,59095.90,59095.90,58958.50,-45.80
2024-09-02T22:23:02.006Z,BTC/USDT,long,entry,59124.70,59084.20,59205.70,
2024-09-02T22:31:02.009Z,BTC/USDT,long,exit,59090.00,59084.20,59205.70,-34.70
2024-09-02T22:33:02.009Z,BTC/USDT,short,entry,59088.00,59102.90,59058.20,
2024-09-02T22:34:02.009Z,BTC/USDT,short,exit,59119.50,59102.90,59058.20,-31.50
2024-09-02T22:36:02.011Z,BTC/USDT,short,entry,59113.00,59130.00,59079.00,
2024-09-02T22:37:02.011Z,BTC/USDT,short,exit,59141.30,59130.00,59079.00,-28.30
2024-09-02T22:43:02.016Z,BTC/USDT,long,entry,59217.50,59137.50,59377.50,
2024-09-02T22:52:02.020Z,BTC/USDT,long,exit,59216.40,59137.50,59377.50,-1.10
2024-09-02T22:54:02.020Z,BTC/USDT,short,entry,59210.60,59224.00,59183.80,
2024-09-02T22:58:02.021Z,BTC/USDT,short,exit,59228.60,59224.00,59183.80,-18.00
2024-09-02T23:00:02.022Z,BTC/USDT,long,entry,59315.60,59210.00,59526.80,
2024-09-02T23:05:02.025Z,BTC/USDT,long,exit,59251.80,59210.00,59526.80,-63.80
2024-09-02T23:06:02.025Z,BTC/USDT,short,entry,59215.90,59257.80,59132.10,
2024-09-02T23:09:02.027Z,BTC/USDT,short,exit,59296.00,59257.80,59132.10,-80.10
2024-09-02T23:13:02.028Z,BTC/USDT,short,entry,59247.20,59259.50,59222.60,
2024-09-02T23:21:02.034Z,BTC/USDT,short,exit,59250.00,59259.50,59222.60,-2.80
2024-09-02T23:25:02.034Z,BTC/USDT,short,entry,59183.60,59225.00,59100.80,
